beguile, beguiled, beguiled, beguiling
behave, behaved, behaved, behaving
behead, beheaded, beheaded, beheading
behold, beholded, beholded, beholding
behoove, behooved, behooved, behooving
behove, behoved, behoved, behoving
bejewel, bejeweled, bejeweled, bejeweling
belabor, belabored, belabored, belaboring
belabour, belaboured, belaboured, belabouring
belay, belaied, belaied, belaying
belch, belched, belched, belching
beleaguer, beleaguered, beleaguered, beleaguering
belie, belied, belied, beliing
believe, believed, believed, believing
belittle, belittled, belittled, belittling
bell, belled, belled, belling
bellow, bellowed, bellowed, bellowing
belly, bellied, bellied, bellying
belly-flop, belly-floped, belly-floped, belly-floping
belly-land, belly-landed, belly-landed, belly-landing
bellyache, bellyached, bellyached, bellyaching
bellylaugh, bellylaughed, bellylaughed, bellylaughing
belong, belonged, belonged, belonging
belt, belted, belted, belting
bemire, bemired, bemired, bemiring
bemoan, bemoaned, bemoaned, bemoaning
bemock, bemocked, bemocked, bemocking
bemuse, bemused, bemused, bemusing
bench, benched, benched, benching
bend, bended, bended, bending
benday, bendaied, bendaied, bendaying
benefact, benefacted, benefacted, benefacting
benefice, beneficed, beneficed, beneficing
beneficiate, beneficiated, beneficiated, beneficiating
benefit, benefited, benefited, benefiting
benficiate, benficiated, benficiated, benficiating
benight, benighted, benighted, benighting
benumb, benumbed, benumbed, benumbing
beplaster, beplastered, beplastered, beplastering
bequeath, bequeathed, bequeathed, bequeathing
berate, berated, berated, berating
bereave, bereaved, bereaved, bereaving
berry, berried, berried, berrying
berth, berthed, berthed, berthing
beseech, beseeched, beseeched, beseeching
beseem, beseemed, beseemed, beseeming
beset, beseted, beseted, beseting
beshrew, beshrewed, beshrewed, beshrewing
besiege, besieged, besieged, besieging
besmear, besmeared, besmeared, besmearing
besmirch, besmirched, besmirched, besmirching
besot, besoted, besoted, besoting
bespangle, bespangled, bespangled, bespangling
bespatter, bespattered, bespattered, bespattering
bespeak, bespeaked, bespeaked, bespeaking
bespeckle, bespeckled, bespeckled, bespeckling
bespot, bespoted, bespoted, bespoting
besprinkle, besprinkled, besprinkled, besprinkling
best, bested, bested, besting
bestialise, bestialised, bestialised, bestialising
bestialize, bestialized, bestialized, bestializing
bestir, bestired, bestired, bestiring
bestow, bestowed, bestowed, bestowing
bestrew, bestrewed, bestrewed, bestrewing
bestride, bestrided, bestrided, bestriding
bet, beted, beted, beting
bethink, bethinked, bethinked, bethinking
betide, betided, betided, betiding
betoken, betokened, betokened, betokening
betray, betraied, betraied, betraying
betroth, betrothed, betrothed, betrothing
better, bettered, bettered, bettering
bevel, beveled, beveled, beveling
bewail, bewailed, bewailed, bewailing
beware, bewared, bewared, bewaring
bewhisker, bewhiskered, bewhiskered, bewhiskering
bewilder, bewildered, bewildered, bewildering
bewitch, bewitched, bewitched, bewitching
bewray, bewraied, bewraied, bewraying
bias, biased, biased, biasing
bib, bibed, bibed, bibing
bicker, bickered, bickered, bickering
bicycle, bicycled, bicycled, bicycling
bid, bided, bided, biding
bide, bided, bided, biding
biff, biffed, biffed, biffing
bifurcate, bifurcated, bifurcated, bifurcating
bight, bighted, bighted, bighting
bike, biked, biked, biking
bilge, bilged, bilged, bilging
bilk, bilked, bilked, bilking
bill, billed, billed, billing
billet, billeted, billeted, billeting
billow, billowed, billowed, billowing
bin, bined, bined, bining
bind, binded, binded, binding
binge, binged, binged, binging
bioassay, bioassaied, bioassaied, bioassaying
biodegrade, biodegraded, biodegraded, biodegrading
birch, birched, birched, birching
bird, birded, birded, birding
bird-nest, bird-nested, bird-nested, bird-nesting
birdie, birdied, birdied, birdiing
birdlime, birdlimed, birdlimed, birdliming
birdnest, birdnested, birdnested, birdnesting
birdwatch, birdwatched, birdwatched, birdwatching
birl, birled, birled, birling
birle, birled, birled, birling
birr, birred, birred, birring
birth, birthed, birthed, birthing
bisect, bisected, bisected, bisecting
bitch, bitched, bitched, bitching
bite, bited, bited, biting
bitt, bitted, bitted, bitting
bitter, bittered, bittered, bittering
bituminise, bituminised, bituminised, bituminising
bituminize, bituminized, bituminized, bituminizing
bivouac, bivouaced, bivouaced, bivouacing
blab, blabed, blabed, blabing
blabber, blabbered, blabbered, blabbering
black, blacked, blacked, blacking
blackball, blackballed, blackballed, blackballing
blackberry, blackberried, blackberried, blackberrying
blacken, blackened, blackened, blackening
blackguard, blackguarded, blackguarded, blackguarding
blackjack, blackjacked, blackjacked, blackjacking
blacklead, blackleaded, blackleaded, blackleading
blackleg, blackleged, blackleged, blackleging
blacklist, blacklisted, blacklisted, blacklisting
blackmail, blackmailed, blackmailed, blackmailing
blacktop, blacktoped, blacktoped, blacktoping
